iter	Passed	Remaining
0	1	99
1	1	87
2	2	80
3	2	71
4	3	69
5	4	66
6	4	63
7	5	61
8	5	59
9	6	58
10	7	57
11	7	55
12	8	54
13	8	53
14	9	51
15	9	51
16	10	49
17	10	48
18	11	47
19	11	45
20	11	45
21	12	44
22	12	43
23	13	43
24	14	43
25	14	42
26	15	41
27	15	40
28	16	40
29	16	39
30	17	38
31	17	38
32	18	37
33	18	36
34	19	36
35	19	35
36	20	34
37	20	33
38	21	33
39	21	32
40	22	31
41	22	30
42	22	30
43	23	29
44	23	29
45	24	28
46	24	27
47	25	27
48	25	26
49	26	26
50	26	25
51	27	24
52	27	24
53	28	23
54	28	23
55	28	22
56	29	22
57	29	21
58	30	21
59	30	20
60	31	19
61	31	19
62	32	18
63	32	18
64	33	17
65	33	17
66	34	16
67	34	16
68	35	15
69	35	15
70	35	14
71	36	14
72	36	13
73	37	13
74	37	12
75	38	12
76	38	11
77	39	11
78	39	10
79	40	10
80	40	9
81	41	9
82	41	8
83	41	7
84	42	7
85	42	6
86	43	6
87	43	5
88	44	5
89	44	4
90	45	4
91	45	3
92	46	3
93	46	2
94	47	2
95	47	1
96	47	1
97	48	0
98	48	0
99	49	0
